store_name,street,city,state,zip_code,phone,store_url,latitude,longitude,split
Cathedral City (118),67720 E Palm Canyon Dr,Cathedral City,CA,92234,760-202-0090,https://locations.traderjoes.com/ca/cathedral-city/118/,33.7892267,-116.4830866,train
Calabasas (254),23741 Calabasas Rd.,Calabasas,CA,91302,818-591-6758,https://locations.traderjoes.com/ca/calabasas/254/,34.1555363,-118.6447547,train
Westlake Village (58),3835 E Thousand Oaks Blvd,Westlake Village,CA,91362,805-494-5040,https://locations.traderjoes.com/ca/westlake-village/58/,34.1638993,-118.8249784,train
Westwood (234),1000 Glendon Ave,Los Angeles,CA,90024,310-824-1495,https://locations.traderjoes.com/ca/los-angeles/234/,34.0621165,-118.4439469,train
Long Beach - Bellflower Blvd (194),2222 North Bellflower Blvd,Long Beach,CA,90815,562-596-2514,https://locations.traderjoes.com/ca/long-beach/194/,33.7966967,-118.1230626,train
Mountain View (81),590 Showers Dr,Mountain View,CA,94040,650-917-1013,https://locations.traderjoes.com/ca/mountain-view/81/,37.402199,-122.1068663,train
Stockton (76),6535 Pacific Ave,Stockton,CA,95207,209-951-7597,https://locations.traderjoes.com/ca/stockton/76/,38.0091681,-121.3226915,train
Santa Barbara (183),3025 De La Vina St,Santa Barbara,CA,93105,805-563-7383,https://locations.traderjoes.com/ca/santa-barbara/183/,34.4389102,-119.728945,train
San Francisco - Nob Hill (200),1095 Hyde St,San Francisco,CA,94109,415-292-7665,https://locations.traderjoes.com/ca/san-francisco/200/,37.7907686,-122.4179305,train
Tarzana (264),18700 Ventura Blvd,Tarzana,CA,91356,747-212-1646,https://locations.traderjoes.com/ca/tarzana/264/,34.1703241,-118.5405183,train
North Hollywood (252),"6130 Laurel Canyon Bl, Suite 100",North Hollywood,CA,91606,818-762-2963,https://locations.traderjoes.com/ca/north-hollywood/252/,,,train
Canyon Country (263),19037 Golden Valley Rd,Santa Clarita,CA,91387,661-276-1430,https://locations.traderjoes.com/ca/santa-clarita/263/,34.3941858,-118.4616238,train
Laguna Hills (39),"24231 Avenida De La Carlota, Suite 100",Laguna Hills,CA,92653,949-461-0927,https://locations.traderjoes.com/ca/laguna-hills/39/,,,train
Sherman Oaks too (267),14140 Riverside Dr,Sherman Oaks,CA,91423,747-245-6608,https://locations.traderjoes.com/ca/sherman-oaks/267/,34.1573557,-118.4404281,train
Los Angeles (31),263 S La Brea Ave,Los Angeles,CA,90036,323-965-1989,https://locations.traderjoes.com/ca/los-angeles/31/,34.0691676,-118.3443578,train
Monrovia (112),604 W Huntington Dr,Monrovia,CA,91016,626-358-8884,https://locations.traderjoes.com/ca/monrovia/112/,34.1380129,-118.0121045,train
Chico (199),"801 East Ave, Ste 110",Chico,CA,95926,530-343-9920,https://locations.traderjoes.com/ca/chico/199/,,,train
San Jose - Old Almaden (63),5353 Almaden Expressway #J-38,San Jose,CA,95118,408-264-8120,https://locations.traderjoes.com/ca/san-jose/63/,,,train
Mission Valley (222),1072 Camino Del Rio North,San Diego,CA,92108,619-297-0749,https://locations.traderjoes.com/ca/san-diego/222/,32.7661721,-117.1552299,train
Valencia (13),26517 Bouquet Canyon Rd,Santa Clarita,CA,91350,661-263-3796,https://locations.traderjoes.com/ca/santa-clarita/13/,34.4284056,-118.5381487,train
La Mesa (24),5495 Grossmont Center Dr,La Mesa,CA,91942,619-466-0105,https://locations.traderjoes.com/ca/la-mesa/24/,32.779306,-117.00561,train
San Francisco - 9th St (78),555 9th St,San Francisco,CA,94103,415-863-1292,https://locations.traderjoes.com/ca/san-francisco/78/,37.7709988,-122.4077368,train
Newport Beach (125),8086 E Pacific Coast Hwy,Newport Beach,CA,92657,949-494-7404,https://locations.traderjoes.com/ca/newport-beach/125/,,,train
Cypress (Rossmoor) (242),5245 Katella Ave.,Cypress,CA,90720,714-220-4930,https://locations.traderjoes.com/ca/cypress/242/,33.8031366,-118.0377944,train
Corona (213),2790 Cabot Dr,Corona,CA,92883,951-603-0299,https://locations.traderjoes.com/ca/corona/213/,33.8111592,-117.5062534,train
Cerritos (104),12861 Towne Center Dr,Cerritos,CA,90703,562-402-5148,https://locations.traderjoes.com/ca/cerritos/104/,33.8689672,-118.058037,train
Santee (260),9680 Mission Gorge Rd,Santee,CA,92071,619-812-3705,https://locations.traderjoes.com/ca/santee/260/,32.8397405,-116.9862422,train
